Tanggapan,L_Layanan,L_Fasilitas
-,0,0
tingkatkan,0,0
sudah bagus,1,1
I HAVE NO IDEA,0,0
gate saya blm pernah,1,1
semoga lebih baik,0,0
Sangat membantu karna disana terdapat perpustakaan yg mempunyai buku2 sesuai dengan jurusan masing2,0,0
bagus sekali,0,0
Adakan khusus belajar privat(perorangan) karena jika ada yg sendiri akan terganggu dengan orang yg belajar kelompok,1,1
keep moving forward,0,0
cukup,0,0
ditingkatkan,0,0
,0,0
Sudah cukup baik,0,0
Ditingkatkan lagi,0,0
tidak ada,1,1
layanan nya sudah bagus namun perlu ditingkatkan,0,0
Sudah bagus kok,0,0
sudah cukup,1,1
cukup bagus,0,0
lebih ditingkatkan,0,0
Cukup baik selama ini,0,0
sudah cukup,0,1
Bagus,1,1
good,0,0
Selalu baik,0,0
-,0,0
terus tingkatkan menjadi lebih baik,1,1
allalalalalla,1,1
"Sudah baik, dengan fasilitas yang semakin baik dan kesempatan untuk bisa mengambil tes secara gratis",0,0
Di tingkatkan lagi,0,0
/.,0,0
,1,1
cukup  baik,0,0
Jangan ada biaya 1% pun,0,0
"kalo di saranin, bakal di kaji dan di laksanakan gak nih?",1,1
Sudah baik dan sudah sangat memfasilitasi mahasiswa untuk belajar bahasa inggris dll,1,1
ok,0,0
Semoga menjadi lebih baik,0,1
Tingkatkan lagi,0,0
lebih baik lagi,0,0
sudah baik karena sudah membuka bantuan melalui kursus,1,1
bagus,1,1
udah bagus,0,0
flow chart jika ada masalah di bagian administrasi kampus perlu diperbaikin dan diperjelas.,0,0
Gak ada kantin di fik,1,1
nice,1,1
Mengapa pusat bahasa dibuka smp sore saja? Padahal maha siswa lama juga ingin menambah bisa berbahasa inggris. Dan kita para mahasiswa lama hanya bisa di malam hari setelah kelas usai. Masa harus ke bimbel bhs inggris lain dl?,1,1
"lebih informatif saja, terkadang sedikit membingungkan informasinya",0,0
Sudah baik,1,1
mungkin dalam pelayanan les inggris diperbaiki dalam pemberian pembelajaran yang layak dengan harganya.,0,0
baik,0,0
-,1,1
terus tingkatkan kualitas bidang layanan pusat bahasa,0,0
koleksi buku ditambah lagi dengan terbitan-terbitan baru,0,0
semoga lebih baik lagi,0,1
"bagus, lebih baik",1,1
Lebih ditingkatkan lagi,1,0
lebih memberikan kemudahan agi mahasiwa,0,0
bagus ditingkatkan lagi,0,0
Saya merasa puas,1,1
untuk pusat bahasa sudah sangat baik. lebih diperbanyak saja acara-acara internasionalnya.,1,1
sudah cukup puas,0,0
lebih diperhatikan layanan akademik,1,1
tingkatkan lagi apa yang sudah ada,0,0
layanan sudah bagus,0,0
Tidak ada.,0,0
semoga biaya test toefl murah,0,0
Perlu memperbaharui perangkat (headset) yang mendukung pelatihan pusat bahasa mahasiswa. Perangkat yang baik akan menghasilkan lulusan yang baik,0,0
"Buku buku dimmodernisasi pak, jamn udah berusbah buku2 menarik mulai muncul",1,1
sudah bagus,1,1
goooooooooooooooooooooood,0,0
Tidak Ada Saran,0,0
semoga lebih baik lagi,1,1
-,0,0
tingkatkan lagi,0,0
sudah bagus,0,0
Sudah cukup baik,0,1
bagus,1,1
bagus,0,0
Belum ada,1,1
Tingkatkan,1,1
semoga bisa lebih baik lagi,0,0
pusat bahasa punya pelayanan yang bagus,0,0
bagus,1,1
"sudah cukup baik, tingkatkan",0,1
:),0,0
puas,0,0
nope,1,1
di adakan test eprt callus (gratis) untuk alumni universitas telkom,0,0
sudah bagus tingkatkan lagi saja,1,1
baguss,1,1
sudah baik dan cukup ditingkatkan,1,1
lebih baik lagi,1,1
sudah cukup baik,0,0
sudah cukup,0,0
sejauh ini berjalan dengan baik. tapi apa salahnya kalau di tingkatkan lagi,0,0
"lebih ramah lagi terhadap pengunjung yang ingin mendaftar eprt , pada pengambilan sertifikat sudah cukup baik...",1,1
-,0,0
-,0,0
"sudah bagus, semoga kedepannya lebih baik lagi.",0,1
baik,1,1
Semoga kedepannya lebib baik lagi,0,0
tingkatkan,1,1
perbaiki,0,0
harap tempatnya di perbaharui dan lebih besar agar lebih nyaman dan mempermudah mahasiswa,0,0
sudah baik,0,0
Oke,0,0
Tidak ada,0,0
tingkatkan lagi,0,1
-,0,0
tes,0,0
untuk pusat bahasa jadwal ecct dan speaking harus lebih disebarluaskan lagi agar semua mahasiswa bisa mendapat informasi secara cepat,1,1
berberapa bagian pelayanan belum puas.,1,1
Sudah Bagus,0,1
"layanan pusat bahasa sepertinya harus ditambah ruangan pelayanannya , karena penumpukan  mahasiswa yang sering terjadi serta karena waktu layanan per mahasiswa relatif lama",0,0
tidak tau,0,0
Sudah bagus,1,1
-,0,1
Sudah cukup bagus.,0,0
terima kasih,0,0
pelayananny ditingkatkan lagi,0,0
sudah cukup baik,0,0
baik,0,0
lebih tingkatkan lagi,1,1
lebih di tingkatkan,0,0
mungkin untuk pelayanan harus ramah aja,1,1
tidak ada,0,0
no comment,0,0
semoga bisa lebih baik lagi,0,0
untuk layanan nya lebih di perbagus lagi,0,0
hmm ive no idea. but its good already :),0,1
,0,0
okeee,0,0
Saya belum pernah kesana,0,0
Sudah baik adanya.,0,0
entahlah,0,0
sudah baik,0,0
lumayan bagus,0,0
no komen,0,0
amazing,0,0
bagus,0,0
baik,0,0
Mohon diperbaiki layananya.,1,1
sudah cukup baik,0,0
semoga info mengenai layanan pusat bahasa terdengar sampai fakultas yang bukan fakultas teknik,0,0
sudah memadai,1,1
cukup,1,1
Saya gatau karna saya tidak mengikuti layanan pusat bahasa,1,1
sudah cukup baik,1,1
sangat puas,1,1
Tidak ada,0,0
tidak ada,0,0
sejauh ini sudah sangat baik,1,1
bagus,0,0
Baik dan perlu ditingkatkan,0,0
Tidak ada,0,0
Sudah cukup baik,1,1
lebih ditingkatkan lagi,1,1
tidak betul,0,0
lebih baik lagi ok,1,1
kembangkan,1,1
lebih baik lagi,0,0
ok,0,1
sudah cukup baik,0,0
tingkatkan lagi,1,1
-,0,0
sudah memuaskan,0,0
Sudah sangat baik,0,1
Tingkatkan terus,0,0
TDK TAHU,0,0
Bagus,0,0
bagusin lagi,0,0
terus berikan pelayanan yg terbaik kepada mahasiswa universitas telkom,0,0
baik,0,0
Semoga informasinya lebih akurat dan tidak terjadi miskom lagi,0,1
tidak ada komentar,0,0
terkadang tidak semua pertanyaan dijawab dengan memuaskan. tolong di tingkatkan lagi,0,0
lebih bagus lagi,0,0
Sudah sangat baik,1,1
lebih di tingkatkan lagi pelayanan di pusat bahasa,0,0
Sudah bagus,0,0
Cukup,0,0
-,1,1
Cukup baik,0,0
sudah cukup baik,0,1
Cukup teratur,0,0
"pegawai kurang profesional, kurang ramah",1,1
no komen,1,1
Bagus,0,0
Sudah baik,0,0
Diperbaiki beberapa layanan fasilitasnya,0,0
.,0,0
"pelayanan di pusat bahasa juga sudah sangat baik dan memuaskan, informasi yang didapatkan juga cepat tersampaikan",0,0
tidak ada,0,1
lebih diperbaiki lagi sistemnya,0,0
Tidak pernah menggunakannnya,0,0
pemeberian informasi disebar luas agar dapat memperoleh informasi dengan mudah,1,1
Lebih cepat dan tanggap dan sudah bagus,1,1
"sudah baik,pelayanan nya harus dikembangkan lagi",0,0
Lebih baik lagi,0,0
aman,0,1
-,0,0
.,0,0
cukup baik,1,1
-,1,1
Layanan pusat bahasa tel-U sudah baik tapi terkadang masih sering ada antrian saat pelaksanaan ESAP,1,1
cukup baik,0,1
layanan dalam bidang pusat bahasa sudah bagus,0,0
Tingkatkan,0,0
lumayan,0,0
Cukup bagus,0,0
Mantap,0,0
agar biaya untuk mengikuti les bahasa dikurangi agar tidak memberatkan mahasiswa,0,0
Sudah cukup,0,0
sudah memberikan pelayanan yang maksimal.,1,1
lebih di tingkatkan,1,1
"baik, tingkatkan",0,0
Tingkatkan,0,0
Lebih disebarluaskan lg info info nya,1,1
sudah bagus,0,0
BAGUS,0,0
cukup baik,0,0
Saya tidak tahu karena saya tidak pernah mengikuti kelas bahasa,0,0
sudah cukup baik,0,0
good,0,0
sudah baik,0,0
di perbaiki lagi,0,0
tingkat kan lagi,1,0
sudah baik,0,0
good,0,0
lebih baik dan bergerak cepat,0,0
baik,0,0
baik,0,1
saya belum pernah mengikuti pusat layanan bahasa,0,0
sudah baik,1,0
bagus,0,0
Sudah baik,1,1
Good,1,1
_,1,1
Fasilitas diperbaikin,0,0
Tidak ada,0,0
sudah sangat bagus,1,1
PERTAHANKAN,0,0
netral juga,1,1
jam buka terlambar jam tutup sangat cepat,1,1
Cukup,0,0
Lebih diperbanyak lagi sounding kegiatan pusat bahasa,0,0
Sudah baik,0,0
tingkatkan lagi,0,0
ketika tes listening kemarin speakernya kurang jelas dan seharusnya kalau tes listening itu menggunakan earphone,0,1
Lebuh di tingkatkan kinerja kerjanya,0,0
tidak ada,0,1
Bagus,0,0
"okeee, lebih bagusin lagi",0,0
Sudah tidak mengikuti layanan baha,0,0
yang terbaik dan terindah saja berikan kepada makasiswa,0,0
Kurang memuaskan,0,0
Sudah baik,0,0
"So far so great, nothing bad at all",0,0
sudah cukup baik,0,0
lanjutkan,0,0
Tingkatkan sosialisasinya,1,1
sudah cukup baik,1,1
perbanyak channel informasi,0,0
baik,0,1
tidak ada,1,1
sudah sangat baik,0,0
Tidak ada,0,0
cukup,0,0
sudah baik,0,0
Cukup memuas kan,0,0
"cukup baik, mohon lebih ditingkatkan kinerjanya",1,1
saya belum pernah ke pusat bahasa jadi belum tau pelayanannya seperti apa,0,0
"Lebih ditingkatkan lagi, khususnya untuk pelayanan ESAP dan lain-lain",0,0
Agar lebih ditingkatkan lagi,0,0
Sabar dan semangat,0,0
sering diadakan event tes eprt gratis,0,0
Lebih ditingkatkan,1,1
Sudah bagus,0,1
-,0,0
Sudah cukup baik,0,0
Cukup baik,0,0
Tidak ada saran dan masukan,0,0
tolong ditingkatkan pelayanannya,0,0
sudah baik menurut saya,1,1
baik,0,0
,0,0
Layanan Pusat Bahasa sudah bagus.,0,0
layanan ini sudah cukup bagus,0,0
tingkatkan,1,1
berikan kejelasan programnya pada maba karena maba harus bertanya lebih dalam,0,0
,0,0
tidak ada,1,1
sudah bagus,0,0
,0,0
good,0,0
lebih baik lagi,0,0
sudah bagus dan harus lebih bagus,0,0
bagus,0,1
.,0,1
-,1,1
tingkatkan,1,1
kurang,0,0
sudah cukup baik,0,0
tingkatkan kami belum puas,1,1
jarang ke pusat bahasa jadi bingung mau kasih saran apa,0,0
Sudah baik,0,1
tidak terlaulu mengetahui,1,1
Bagus,0,0
bagus,0,0
Les nya jangan mahal mahal dong,1,1
Kenapa tes yg digunakan bukan TOEFL?,0,0
lebi tingkatkan lagi,1,1
Tolong di tingkatkan saja,1,1
sudah baik,0,0
a,1,1
harus dikelola secara profesional,0,0
-,0,1
Baik. Sering adakan eprt gratis untuk mahasiswa tingkat akhir.,1,1
Semoga kedepannya sekalian baik,0,0
kurang tahu,1,1
no comment,0,0
sudah bagus dan tingkatkan lagi,1,1
bagus,0,0
tingkatkan kinerja pelayanannya,0,0
Lebih diperbaiki lagi dalam kualitas.,0,0
Terus membaik,0,0
tingkatkan,0,0
puas,0,0
"Layanan pusat bahasa sudah memuaskan, hanya saja di beberapa jurusan belum diumumkan hasil tes yang sudah lewat hampir 2 bulan lamanya, meskipun pada jurusan saya mata kuliah bahasa inggris tidak ada di semester ini",0,0
layanan bahasa lebih dipermudah lg untuk mahasiswa,0,0
Puas,0,0
lebih baik lagi,0,0
sudah baik,0,0
Hm b aja,1,1
Bagus,1,0
ya,1,1
tidak ada,0,0
belum tahu,0,0
Sudan cukup baik,0,0
pertahankan yang sudah berjalan seperti saat ini,0,0
Sudah bagus,0,0
sudah baik,0,0
-,0,0
-,0,0
"memberikan informasi yang mudah diakses,dan mudah di mengerti",0,0
bagus. lebih ditingkatkan lagi.,0,0
Fasilitas dibenahi,1,1
ditingkatkan lagi kualitasnya,0,0
layanan dari pusat bahasa sudah cukup baik.,1,1
Cukup baik,0,0
no comment,0,0
pusat bahasanya bagus,1,1
t,0,0
No comment,0,0
puas,0,0
"Layanan Pusat Bahasa sudah baik. Fasilitas yang diberikan juga nyaman, tempatnya juga bersih sehingga mahasiswa yang mengikuti esap merasa nyaman dan betah.",0,1
sudah bagus,0,0
Puas,1,1
"layanan di pusat bahasa memakan waktu yang lama ,sistem nya harap di perbaiki sehingga menjadi lebih baik :)",1,1
bagus dan responsif,1,1
ditingkatkan lg,0,0
-,1,1
:),0,0
Layanan pusat bahasa menyediakan layanan pendaftaran secara online sehingga tidak adanya antrian mahasiswa untuk mendapatkan fasilitas pusat bahasa,0,0
bagus,0,0
Tidak ada,0,0
terus berikan pelayanan yg terbaik kepada mahasiswa universitas telkom,1,1
lebih memperbanyak penyebaran informasi mengenai pusat bahasa karena beberapa mahasiswa hanya mengetahui saat tes ecct dan eprt,1,1
sangat memuaskan,0,0
Semoga lebih baik kedepannya,1,1
lebih diperbaiki,0,0
lebih ditingkatkan,0,0
Tidak ada,0,0
"Implementasi layanan pusat bahasa memuaskan. Tetapi, mohon diperbaiki lagi fasilitasnya, terutama fasilitas ESAP. Masih ada komputer di ruang ESAP Software yang tidak berfungsi, padahal komputer adalah salah satu fasilitas penunjang kegiatan.",0,0
-,0,0
.,1,1
tidak ada karena sudah tertib dan baik,0,0
hehe,0,0
Tingkatkan lagi respon dan ketanggapannya,1,1
"waktunya di perhatikan, sarana dan prasarana di tambah. Terima kasih.",0,0
no comment,0,0
lebih ditingkatkan,1,1
kurang terdengar di FEB,0,0
-,0,0
baik,0,0
Sudah cukup baik,1,1
sudah baik,0,0
semoga proses pencetakan sertifikat dan proses di pusat bahasa tidak dibuat sulit dan lama,0,0
bagus...,1,1
ok,0,0
sudah cukup baik ditingkatkan lagi,0,0
-,0,0
,0,0
JANGAN MEMPERSULIT MAHASISWA DENGAN SEENAKNYA MENAIKKAN HARGA APAPUN YANG MENYANGKUT DENGAN PUSAT BAHASA. TIDAK SEMUA MAHASISWA TELKOM ITU KAYA RAYA.,0,0
semoga lebih berkembang lagi,0,0
Jarang kesana,0,0
sudah baik,0,0
"karena sudah lama tidak mengikuti kegiatan bahasa , mungkin sarannya infonya lebih diperluas, karena saya lebih mengetahui info ketika saya masih berada diwilayah gedung A",0,0
cukup baik,1,0
baik,1,1
"Sudah bagus, ditingkatkan lagi agar lebih baik kedepannya",0,0
the best,0,0
Tidak ada,0,0
baik,0,0
,0,0
teruskan,1,0
,0,1
sangat bagus,1,1
-,0,0
-,0,0
Sudah bagus. Mohon untuk di beri AC agar para mahasiswa lebih nyaman dalam kegiatan perkuliahan.,0,0
tingkatkan,0,0
saya rasa semua pelayanannya sudah cukup baik,0,0
Bagus,0,0
"maaf, saya kurang tau karna saya belum pernah mengikuti kegiatan seperti itu",0,0
Bagus,0,0
bagus,0,0
"i think it would be better if you have a dispencer, so we can drink at the library",0,0
saya harap biaya kegiatan di pusat bahasa lebih terjangkau.,1,1
"sudah cukup baik, tinggal dikembangkan kembali",0,0
makakakakKkLKkakakalLalslakjJ,1,1
sudah cepat,0,0
semoga semakin baik,0,0
cukup,0,0
semoga lebih baik kedepannya,0,0
"cukup, kurang bule",0,0
Pelayanan sudah baik,1,1
sudah bagik,0,0
pertahankan sudah baik,0,0
Bagus,1,1
lebih di tingkatkan lagi,0,0
No Comment,0,0
tingkatkan,0,0
-,0,0
layanan pusat bahasa juga sangat bagus,1,1
sudah cukup baik,1,1
Semoga ke depannya lebih baik lagi,1,1
cukup baik.,0,0
"semoga jadwalnya teratur , dapat ditingkatkan lagi",0,0
sudah baik.,0,0
semoga lebih baik dan pelayanannya lebih bagus lagi,0,0
kurang nya sosialisasi menyebabkan mahasiswa/i tidak mengetahui informasi terbaru,0,0
bagus,0,0
mantap bosque,0,0
bagus,1,1
Nice,0,0
lebih ditingkatkan lagi,0,0
layanan harus diperbaiki dengan sistem melayani mahasiswa dengan baik,0,0
lumayan,0,0
Sangat bagus,0,1
baik,0,0
cukup mengesankan,0,0
.,0,0
tetap semangat,0,1
-,0,0
cukup baik,1,1
tingkatkan lagi,0,0
semoga layanan di pusat bahasa tetap terjaga,0,0
belum pernah,0,0
semoga semakin membaik,0,0
cukup baik,1,1
Akan lebih baik apabila hasil test bisa diumumkan dengan cepat atau via email.,0,0
sudah baik,0,0
sudah baik,0,0
-,0,1
berikan penjelasan yang lengkap terkait pendaftaran tes bahasa,0,0
sudah bagus,0,0
Layanan Pusat Bahasa bisa ditingkatkan lagi,0,1
Baik,0,0
Tidak ada,0,0
cukup baik,0,1
-,1,1
masih kurang mendapat fasilitas ini,1,1
tidak ada,0,1
-,0,0
cukup baik,0,0
banyak pelatihan gratis,0,0
-,0,0
-,1,1
ECCT nya di tingkatkan lagi kualitasnya,0,0
Good,0,0
,0,0
sosialisasi minim,0,1
lebih permudah daftar online dan tidak perlu onsite kembali,0,0
semakin lebih baik lagi,0,1
Tingkatkan layanan les bahasa inggris,0,0
-,0,0
enough good,0,0
,1,1
Terimakasih,0,0
tingkatkan lagi.,0,0
baik,1,1
Sama dengan yang diatas,0,0
-,0,0
Semakin ditingkati pelayanannya,0,1
pelayanan pusat bahasa cukup baik,1,1
"Mohon dalam mempublikasi skor hasil tes jangan ngaret. Biasanya hasil keluar seminggu setelah tanggal tes, tapi kemaren diundur, padahal nilai sudah ditunggu karena deadline pengumpulan nilai",0,0
-,0,0
sudah baik,1,1
-,0,0
semoba lebih baik kedepannya,1,1
"sudah baik dan memuaskan, semoga bisa dipertahankan untuk ke depannya",0,0
baik,0,0
Kinerja nya ditingkatkan dan dipertahannkan. Terimakasih,0,1
Sudah bagus pelayananya tidak ada saran dan masukan lagi,0,0
no coment,0,0
Layanan kursusnya lebih ditingkatkan,0,0
vwalaupun sudah baik tapi tetap perbaiki lagi menjadi lebih baik,1,1
sudah cukup baik,0,0
-,0,0
"jikalau pusat bahasa mengadakan tes di ruangan besar, tolong perhatikan juga peserta di bagian belakang, karena waktu tes hanya memberika speaker di bagian depan saja jadinya bagian belakang kurang memahami persoalannya.",0,0
bagus,0,0
Lebih memperbanyak fasilitas,1,1
Sudah baik,1,1
sudah,1,1
Lebih dipercepat layanan legalisir sertifikat karena legalisir sekarang ini dirasa cukup lama yaitu selama 1 minggu.,0,1
Sudah baik,0,0
pertahankan,0,1
-,1,1
Lebih ditingkatkan dr segi pelayanannya,0,0
sudah cukup baik,0,0
sudah baik,0,1
Baik,0,1
Sudah cukup baik,0,1
Cukup baik hanya saja masih terbatas dan perlu adanya penambahan atau perluasan untuk memudahkan mahasiswa dan mengurangi membludaknya mahasiswa pada satu tempat.,0,0
berikan kemudahan,1,1
Lebih ditingkatkan lagi,0,0
bikin English Day.,1,1
sudah cukup baik,0,0
lebih ramah dalam pelayanannya,0,0
lebih di optimalkan lagi,1,1
sudah memuaskan,1,0
sudah bagus,1,1
"sudah cukup baik,namu jadwal les di pusat bahasa sangat tidak memperhtikan jadwal kuliah mahasiswa,masa lesnya diulai jam2 siang padahal rata2 jam segitu mahasisa kuliah,alangkah lebih baiknya jika dimulai sore atau abis magrib jadi mahasiswa bisa mengikuti",0,0
"Bidang layanan pusat bahasa sudah bagus, namun dalam kursus yang dijadwalkan(shift) masih kurang, karena jadwal kursus dengan jadwal kuliah banyak yang bentrok. mohon bantuannya",0,0
diberikan program belajar yang menarik,0,0
semoga lebih baik,0,0
lebih ditingkatkan lagi kenyamanannya,0,0
Sudah baik,1,1
tingkatkan ^__^,0,0
.,1,0
C,0,0
Lebih ditingkatkan,1,1
fasilitas di tambah atau diperbaiki dan kenyamanan seperti AC ditambahkan dan TEMPAT SAMPAH mohon DIPERBANYAK,1,0
tolong kinerja nya di perbaikin lagi,0,0
oke,0,0
tidak ada,0,0
sudah cukup baik sejauh ini,0,0
-,0,1
Sudah baik,0,0
"sudah baik , ditingkatkan lagi",0,0
Tidak ada,0,0
"baik, tetapi ruangannya kurang baik",0,0
back,1,0
lebih dikembangkan dan difasilitasi secara maksimal,0,0
Rungan dan fasilitas di kls kurang lengkap,0,0
sudah baik,0,0
"Sudah cukup bagus, hanya masih banyak mahasiswa dan mahasiswi yang belum mengerti kegiatan kegiatan apa saja yang ada di pusat bahasa",0,0
lumayan bagus,0,0
a,0,0
"Harga terlalu tinggi,",0,0
sistem layanan pusat bahasa sudah baik dan sesuai,0,0
CUkup baik,0,0
baik,1,1
lebih baik dari sebelumnya,0,0
ruangannya dibuat lebih nyaman lagi,0,0
ok,1,1
Tidak ada,1,0
Sudah cukup baik.,0,0
bagus,0,0
sudah baik,0,0
good,0,0
Tidak ada komentar,0,0
Lebih baik,1,1
sudah cukup baik,0,0
jadi lebih baik lagi,0,0
melakukan sosialisasi mengenai apa saja program yg menjadi hak dan kewajiban mahasiswa dari pusat bahasa,0,0
bagus,0,0
Baik dan terus tingkatkan,1,1
tidak ada fasiliasnya sudah mencakup semua kebutuhan mahasiswa,1,1
Belum pernah jdi gak tau,0,0
.,0,0
sudah baik,1,0
sudah cukup bagus dan mempuni,1,1
good,1,1
seomga yang sudah baik menjadi lebih baik lagi,1,1
tidak ada,0,0
baik,1,1
sudah baik,0,0
sudah baik,1,1
Di tingkatkan lagi,0,0
lebih ditingkatkan lagi,0,1
OKE,1,1
bagus sekali,0,0
semoga ke depannya bisa lebih baik lagi dan fasilitasnya lebih lengkap lagi,0,1
lebih ditingkatkan lagi sarana di pusat bahasa,1,1
mohon tingkatkan lagi,1,1
"sudah baik, semoga lebih baik lagi kedepannya",0,0
sudah bagus,0,0
lebih ditingkatkan lagi,1,1
-,1,1
tingkatkan lagi masih banyak yang kurang memuaskan,0,0
Bagus,0,0
"pelayanan sangat mengecewkan, para peserta hanya melakukan kegiatan sendiri tanpa anda bimbingan seperti pada bagian scrabble.",0,0
Kurang tersebar,0,0
dipertahankan,1,1
gratis kalo bisa,0,0
"baik, namun saat saat tertentu antrian sangat panjang, mungkin perlu di perbanyak petugas.",0,0
tingkatkan lagi,1,1
sudah bagus,0,0
Tidak ada,0,0
Tingkatkan,0,0
kalau ngasih informasi yang sejelas jelasnya,1,1
-,0,0
Cukup,0,0
Bagus,0,0
Sudah baik,0,0
Ditingkatkan,0,0
sudah bagus,0,0
Sudah Bagus,0,0
tingkatkan lagi kenyamanan sarana dan pra sarananya,1,1
sudah bagus,1,1
sudah bagus,0,0
bagus,0,0
be good,0,0
sudah cukup memuaskan,0,0
tetap jaga ketepatan,0,0
bagus,0,0
Ga ikut,0,0
Tidak ada,0,0
Baik,1,0
suadah baik,0,0
jam kursus diperbanyak karena sulit untuk menemukan jam yang pas dengan jam kosong kuliah,0,0
lebih ditingkatkan lagi,0,0
memuaskan,1,1
gg,1,1
Sudah baik,0,0
cukup,1,1
baik,1,1
Sudah bagus,1,1
bagus,1,1
sudah sangat baik,0,0
"Sudah sangat bagus, kondisi ruangan ujian sangat memadai dengan pelayanan yang transparan",0,0
,0,1
sudah baik,1,0
sudah baik,0,0
saran saya cukup bagus tapi lebih tingkatkan lagi,0,0
"menurut saya layanan pusat bahasa sudah cukup baik, tingkatkan lagi",0,1
-,1,1
Semoga lebih baik lagi,1,1
sangat baik dan harus di tingkatkan,0,0
semoga lebih baik,0,0
semoga bisa jadi lebih baik lagi,1,1
-,0,0
Bagus,0,0
saya sebagai siswa lac membership memberi saran maksimal dari bimbel 10 orang saja,0,0
memperluas,0,0
+,0,0
Semangat,0,1
Pemerataan bimbingan bag mahasiswa,0,1
Terus dievaluasi sistemnya,0,1
dipermudah segala urusannya,0,0
"sudah memenuhi kebutuhan,mohon dipertahankan",1,1
Belum ada saran,0,0
ditingkatkan lagi,0,0
sudah,1,1
sudah bagus,1,0
-,1,1
good,0,0
Tidak ada masukan,0,0
"sudah baik, tetapi kalau bisa ditambah dengan TOEFL agar kami bisa belajar test TOEFL di kampus kita sendiri",1,1
seharusnya esap tidak bayar.,0,0
dipermudah prosesnya,0,1
cukup,0,0
saran baik dan tingkatkan kinerjanya,1,1
sangat cukup puas,0,0
sudah baik,0,0
harus keibh bisa dioptimalkan lagi,0,0
perbagus lab bahasa,0,0
lebih baik lagi,0,0
sudah cukup,0,0
saya sudah sangat puas,0,1
"lebih ditingkatkan lagi fasilitas, kinerja dan pelayanannya.",0,0
-,1,1
jadwal untuk lesnya diperbanyak,0,0
nothing,0,0
lebih gencar lagi dalam memberikan info lewat semua media agar semua mahasiswa/t mengetahui jika ada kegiatan,0,0
Tidak ada,0,0
sudah bagus,0,0
"mungkin sebaiknya ada official account, jadi mahasiswa yang berada di tingkat akhir lebih mengetahui kegiatan yang bisa diikuti",1,1
Sudah cukup baik,0,0
cukup,0,0
verifikasi data agar dapat dilakukan secara online (tidak perlu verifikasi secara fisik satu hari sebelum pelaksaan tes) mengingat ada pula mahasiswa yang tidak berdomisili di dayeuh kolot,0,0
Digratiskan agar banyak yg mengikuti,0,0
semangat,0,0
kurang jelas pengumumannya,0,0
Sdh oke,0,0
Cukup,1,1
(tidak ada),0,0
sudah cukup,0,0
baik,0,0
Tingkatkan lagi,1,1
sangat baik,1,1
tetap jalani aturan dengan semestinya,0,0
sangat memuaskan,0,1
Sudah bagus,0,0
Tidak ada,0,0
0ie,0,0
semuanya cukup,0,0
lebih baik lagi,0,0
Layananpusat bahasa sudah baik.,0,0
cukup baik,0,1
ok,0,0
Semoga Layanan Lebih baik,0,0
"sudah bagus, tapi lebih ditingkatkan demi kemajuan bersama.",1,1
tidak ada,0,1
"perlu ditingkatkan lagi karena, saat mengikuti layanan ESAP saya merasa tidak menambah ataupun memperbaiki kualitas bahasa inggris saya justru merasa kurang bermanfaat",1,1
sudah baik,1,1
sudah baik,0,0
sudah bagus,0,1
tidak ada,1,1
-,0,0
sudah baik,0,0
lebih baik dalam mengatur jam karena sering sekali pusat bahasa buka tidak sesuai waktu,0,0
jfdystwgre,0,0
mantap,0,0
Lebih giat dalam menginformasikan hal-hal terkait layanan oleh Layanan Pusat Bahasa,0,0
"Layanan pusat bahasa jangan hanya EPRT dan smacamnya. Seharusnya tes awal kita disediakan TOEFL sekaligus agar kami dapat mengetahui kemampuan kami. Kalau hanya EPrT, tidak akan berguna untuk diluar kampus",0,0
baik dan tingatkan lagi,0,0
semoga lebih baik,0,0
.,1,1
Registrasi dan pembayaran online saja,0,0
Lebih ditingkatkan lagi,1,1
sudah bagus dan baik,1,1
sangat baik,1,1
Sudah baik,0,0
AIR ASRAMA KOTOR :(,0,0
baik,1,1
mantap,0,0
Saya rasa sudah cukup baik,0,0
sudah sangat baik,1,1
apa itu?,1,1
di perbaiki,0,0
nih,0,0
sudah baik hanya perlu ditingkatkan dan dipertahankan,0,0
Lebih ditingkatkan lagi,0,0
sudah lumayan baik,0,0
Tidak ada,0,0
sudah cukup baik,1,1
Sangat baik. Pertahankan dan tingkatkan.,0,0
bagus,0,0
Sudah baik,0,0
"lebih ditingkatkan lagi sistem pemelajaran yang lebih efekif karna yang dirasasangat sangat tidak efektif dan tidak berpengaruh terhadap peningkatan pembeljaran saya,sangat tdak jelas dan saya terpaksa ikut krna berupa syarat nilai dari matkul bahasa nggris bukan untuk bena benar belajar, krna sbnrnya hanya membuang waktu kita harus mengantri untuk waktu yang sangat lama padahal ada kelas lain yang harus diikuti",1,1
lebih baik lagi kedepannya,1,1
layanan yang diberikan memuaskan,0,0
Its good for me,0,0
belum pernah mencoba,1,1
sudah cukup baik,0,0
No Comment,1,1
anjay mantap,1,1
Semoga bisa lebih baik lagi,1,1
tidak ada,1,1
-,0,0
a,0,1
Lebih baik lagi kedepannya,0,0
lumayan aja,0,0
baik,0,0
baik,0,0
jadi lebih baik dari sebelumnya,0,0
sudah baik,0,0
lebih ditingkatkan lagi,1,1
tingkatkan,0,0
moal sukses,1,1
Semoga layanan di Universitas Telkom dalam bidang Layanan Pusat Bahasa menjadi lebih baik lagi kedepannya.,0,1
-,0,1
